A1CF APOBEC1
A1CF APOBEC3F
A1CF APOBEC3G
A2M APP
A2M IGF1
A2M KLK4
A2M KLKB1
A2M LRP1
A2M MMP1
A2M MMP10
A2M MMP11
A2M MMP13
A2M MMP19
A2M MMP2
A2M MMP20
A2M MMP3
A2M MMP7
A2M MMP8
A2M MMP9
AAAS ALYREF
AAAS CASC3
AAAS EIF4A3
AAAS KPNB1
AAAS MAGOH
AAAS MAGOHB
AAAS NCBP1
AAAS NCBP2
AAAS NDC1
AAAS NPM1
AAAS NUP107
AAAS NUP133
AAAS NUP153
AAAS NUP155
AAAS NUP160
AAAS NUP188
AAAS NUP205
AAAS NUP210
AAAS NUP214
AAAS NUP35
AAAS NUP37
AAAS NUP43
AAAS NUP50
AAAS NUP54
AAAS NUP62
AAAS NUP85
AAAS NUP88
AAAS NUP93
AAAS NUPL2
AAAS NXF1
AAAS NXT1
AAAS POLDIP3
AAAS POM121
AAAS POM121C
AAAS RAE1
AAAS RANBP2
AAAS RANGAP1
AAAS RNPS1
AAAS SRRM1
AAAS SUMO1
AAAS TPR
AAAS UBE2I
AAAS UPF3B
AADAT KYAT1
AADAT KYAT3
AAK1 ACTR2
AAK1 ACTR3
AAK1 ADRB2
AAK1 AGFG1
AAK1 AGTR1
AAK1 AMPH
AAK1 AP1B1
AAK1 AP2A1
AAK1 AP2A2
AAK1 AP2B1
AAK1 AP2M1
AAK1 AP2S1
AAK1 APOB
AAK1 ARPC1A
AAK1 ARPC2
AAK1 ARPC3
AAK1 ARPC4
AAK1 ARPC5
AAK1 ARRB1
AAK1 ARRB2
AAK1 AVP
AAK1 AVPR2
AAK1 BIN1
AAK1 CBL
AAK1 CD3D
AAK1 CD3G
AAK1 CD4
AAK1 CFTR
AAK1 CHRM2
AAK1 CLTA
AAK1 CLTB
AAK1 CLTC
AAK1 CLTCL1
AAK1 CTTN
AAK1 DAB2
AAK1 DNAJC6
AAK1 DNM1
AAK1 DNM2
AAK1 DNM3
AAK1 DVL2
AAK1 EGF
AAK1 EGFR
AAK1 EPN1
AAK1 EPN2
AAK1 EPS15
AAK1 FCHO1
AAK1 FCHO2
AAK1 FNBP1
AAK1 FNBP1L
AAK1 FZD4
AAK1 GAK
AAK1 GAPVD1
AAK1 HIP1
AAK1 HIP1R
AAK1 HSPA8
AAK1 IGF2R
AAK1 ITSN1
AAK1 ITSN2
AAK1 KIAA0319
AAK1 LDLR
AAK1 LDLRAP1
AAK1 LRP2
AAK1 M6PR
AAK1 NECAP1
AAK1 NECAP2
AAK1 NUMB
AAK1 OCRL
AAK1 PACSIN1
AAK1 PACSIN2
AAK1 PACSIN3
AAK1 PICALM
AAK1 PIK3C2A
AAK1 RAB5A
AAK1 RAB5B
AAK1 RAB5C
AAK1 REPS1
AAK1 REPS2
AAK1 RPS27A
AAK1 SCARB2
AAK1 SGIP1
AAK1 SH3GL1
AAK1 SH3GL2
AAK1 SH3GL3
AAK1 SLC18A3
AAK1 SLC2A8
AAK1 SNAP91
AAK1 SNX18
AAK1 SNX9
AAK1 STON1
AAK1 STON2
AAK1 SYNJ1
AAK1 SYNJ2
AAK1 SYT1
AAK1 SYT11
AAK1 SYT2
AAK1 SYT8
AAK1 SYT9
AAK1 TACR1
AAK1 TF
AAK1 TFRC
AAK1 TGOLN2
AAK1 TRIP10
AAK1 UBA52
AAK1 UBB
AAK1 UBC
AAK1 VAMP2
AAK1 VAMP3
AAK1 VAMP4
AAK1 VAMP7
AAK1 VAMP8
AAK1 WASL
AAK1 WNT5A
AAMP MRPL16
AAMP RPL10
AAMP RPL10L
AANAT YWHAZ
AAR2 EEF2
AAR2 EFL1
AAR2 EFTUD2
AAR2 GFM1
AAR2 GFM2
AAR2 PRPF4
AAR2 PRPF6
AAR2 PRPF8
AAR2 SART1
AAR2 SNRNP200
AAR2 SNRPB
AAR2 SNRPD2
AARS AARS2
AARS MARS
AARS VARS
AARS2 MARS
AARS2 VARS
AASDH AASDHPPT
AASDH SAMM50
AATF ABT1
AATF AGAP9
AATF BMS1
AATF DDX10
AATF DDX18
AATF DDX27
AATF E2F1
AATF E2F2
AATF E2F3
AATF FBL
AATF HDAC1
AATF IMP3
AATF KCTD19
AATF KRI1
AATF KRR1
AATF MAGED1
AATF MPHOSPH10
AATF NAT10
AATF NGDN
AATF NGF
AATF NGFR
AATF NOC4L
AATF NOL10
AATF NOP14
AATF PNO1
AATF POLR2J
AATF PWP2
AATF RB1
AATF RSL1D1
AATF TFDP1
AATF UTP20
AATF WDR75
ABAT CSAD
ABAT DDC
ABAT GAD1
ABAT GAD2
ABAT GADL1
ABAT HDC
ABAT SEPSECS
ABAT SGPL1
ABCA1 ABCG2
ABCA1 APOA1
ABCA1 APOE
ABCA1 CDC42
ABCA1 PLTP
ABCA1 SPTLC1
ABCA10 ABCG2
ABCA2 ABCA7
ABCA2 ABCB6
ABCA2 ABCB8
ABCA2 ABCD4
ABCA2 ABCF2
ABCA2 ABCG2
ABCA2 ABCG5
ABCA2 ABCG8
ABCA2 ATP12A
ABCA2 ATP1A1
ABCA2 ATP1A2
ABCA2 ATP1A3
ABCA2 ATP1A4
ABCA2 ATP1B1
