input_study_accession	observed_number_of_edges	count_random	fdr
GCST005983	2	40	0.0374882849109653
GCST005005	16	0	0
GCST000760	10	0	0
GCST004460	1	40	0.0374882849109653
GCST000054	1	36	0.0337394564198688
GCST004627	30	8	0.00749765698219306
GCST005527	22	0	0
GCST000322	4	0	0
GCST004630	68	0	0
GCST003267	1	10	0.00937207122774133
GCST000135	2	0	0
GCST000174	2	3	0.0028116213683224
GCST004165	1	2	0.00187441424554827
GCST005526	1	13	0.0121836925960637
GCST004433	6	18	0.0168697282099344
GCST002297	1	10	0.00937207122774133
GCST005350	1	23	0.0215557638238051
GCST000287	3	0	0
GCST000833	2	12	0.0112464854732896
GCST003270	2	0	0
GCST003217	3	0	0
GCST000243	1	13	0.0121836925960637
GCST002808	5	0	0
GCST002233	1	1	0.000937207122774133
GCST000793	1	1	0.000937207122774133
GCST006016	2	5	0.00468603561387067
GCST005987	11	0	0
GCST000506	1	11	0.0103092783505155
GCST004609	59	0	0
GCST005980	1	22	0.0206185567010309
GCST004616	50	0	0
GCST000679	2	25	0.0234301780693533
GCST004746	2	0	0
GCST002261	1	0	0
GCST001183	5	0	0
GCST002686	1	0	0
GCST004600	72	0	0
GCST004629	28	0	0
GCST000562	3	0	0
GCST005008	1	0	0
GCST004634	10	0	0
GCST000755	6	0	0
GCST000667	3	0	0
GCST000439	1	3	0.0028116213683224
GCST002899	11	0	0
GCST000803	4	0	0
GCST001341	6	0	0
GCST004302	4	1	0.000937207122774133
GCST005993	12	13	0.0121836925960637
GCST006018	1	42	0.0393626991565136
GCST004618	8	10	0.00937207122774133
GCST000623	1	52	0.0487347703842549
GCST004999	1	3	0.0028116213683224
GCST000285	4	0	0
GCST005542	1	7	0.00656044985941893
GCST000502	1	30	0.028116213683224
GCST006004	6	0	0
GCST002829	2	0	0
GCST000042	1	16	0.0149953139643861
GCST004867	2	18	0.0168697282099344
GCST005827	1	31	0.0290534208059981
GCST000133	1	4	0.00374882849109653
GCST002084	1	19	0.0178069353327085
GCST003814	1	26	0.0243673851921275
GCST002217	2	0	0
GCST000733	1	18	0.0168697282099344
GCST000759	8	1	0.000937207122774133
GCST003520	1	17	0.0159325210871603
GCST001198	7	0	0
GCST004748	9	1	0.000937207122774133
